File;N;P;Initial_Temperature;Reduction_coef;Fitness
1;10;2;100.0;0.85;1.6749306479209602E8
1;10;2;100.0;0.9;1.7154076333851948E8
1;10;2;100.0;0.95;1.6749306479209602E8
1;10;2;100.0;0.97;1.6749306479209602E8
1;10;2;1000.0;0.85;1.6749306479209602E8
1;10;2;1000.0;0.9;1.8915145061835468E8
1;10;2;1000.0;0.95;1.8915145061835468E8
1;10;2;1000.0;0.97;1.6749306479209602E8
1;10;3;100.0;0.85;1.360081259120435E8
1;10;3;100.0;0.9;1.806560766620386E8
1;10;3;100.0;0.95;1.360081259120435E8
1;10;3;100.0;0.97;1.360081259120435E8
1;10;3;1000.0;0.85;1.367686137402871E8
1;10;3;1000.0;0.9;1.360081259120435E8
1;10;3;1000.0;0.95;1.360081259120435E8
1;10;3;1000.0;0.97;1.367686137402871E8
1;10;4;100.0;0.85;1.1239606809189516E8
1;10;4;100.0;0.9;1.1239606809189516E8
1;10;4;100.0;0.95;1.1469302257309836E8
1;10;4;100.0;0.97;1.2795234483143964E8
1;10;4;1000.0;0.85;1.1239606809189516E8
1;10;4;1000.0;0.9;1.1239606809189516E8
1;10;4;1000.0;0.95;1.2795234483143964E8
1;10;4;1000.0;0.97;1.1590508536080351E8
1;10;5;100.0;0.85;9.11053706838308E7
1;10;5;100.0;0.9;1.0173676051430692E8
1;10;5;100.0;0.95;1.0364795276520574E8
1;10;5;100.0;0.97;1.0364795276520574E8
1;10;5;1000.0;0.85;1.0364795276520574E8
1;10;5;1000.0;0.9;9.11053706838308E7
1;10;5;1000.0;0.95;1.0173676051430692E8
1;10;5;1000.0;0.97;1.2712171096749912E8
2;20;2;100.0;0.85;1.7281668972096133E8
2;20;2;100.0;0.9;1.756382069513482E8
2;20;2;100.0;0.95;1.756382069513482E8
2;20;2;100.0;0.97;1.756382069513482E8
2;20;2;1000.0;0.85;1.7281668972096133E8
2;20;2;1000.0;0.9;1.7281668972096133E8
2;20;2;1000.0;0.95;1.7281668972096133E8
2;20;2;1000.0;0.97;1.7281668972096133E8
2;20;3;100.0;0.85;1.532938952340396E8
2;20;3;100.0;0.9;1.532938952340396E8
2;20;3;100.0;0.95;1.6049747757502544E8
2;20;3;100.0;0.97;1.6049747757502544E8
2;20;3;1000.0;0.85;1.515330837777331E8
2;20;3;1000.0;0.9;1.6114152683752957E8
2;20;3;1000.0;0.95;1.5265188683051965E8
2;20;3;1000.0;0.97;1.5382868963301063E8
2;20;4;100.0;0.85;1.5076076177588928E8
2;20;4;100.0;0.9;1.4163261818973127E8
2;20;4;100.0;0.95;1.440597330151461E8
2;20;4;100.0;0.97;1.3895125904091755E8
2;20;4;1000.0;0.85;1.393824090572662E8
2;20;4;1000.0;0.9;1.40026930478342E8
2;20;4;1000.0;0.95;1.5089924029440278E8
2;20;4;1000.0;0.97;1.4055692951861444E8
2;20;5;100.0;0.85;1.2727494003398804E8
2;20;5;100.0;0.9;1.2337810768205163E8
2;20;5;100.0;0.95;1.2673324541496938E8
2;20;5;100.0;0.97;1.3143708184143499E8
2;20;5;1000.0;0.85;1.3167992677794358E8
2;20;5;1000.0;0.9;1.2313009462031576E8
2;20;5;1000.0;0.95;1.3048005360174198E8
2;20;5;1000.0;0.97;1.3076135228222652E8
3;30;2;100.0;0.85;1.752311326307103E8
3;30;2;100.0;0.9;1.752311326307103E8
3;30;2;100.0;0.95;1.752311326307103E8
3;30;2;100.0;0.97;1.752311326307103E8
3;30;2;1000.0;0.85;1.752311326307103E8
3;30;2;1000.0;0.9;1.752311326307103E8
3;30;2;1000.0;0.95;1.752311326307103E8
3;30;2;1000.0;0.97;1.752311326307103E8
3;30;3;100.0;0.85;1.5595635660477382E8
3;30;3;100.0;0.9;1.6062558426044568E8
3;30;3;100.0;0.95;1.6062558426044568E8
3;30;3;100.0;0.97;1.5595635660477382E8
3;30;3;1000.0;0.85;1.6062558426044568E8
3;30;3;1000.0;0.9;1.6062558426044568E8
3;30;3;1000.0;0.95;1.64395169660129E8
3;30;3;1000.0;0.97;1.6062558426044568E8
3;30;4;100.0;0.85;1.439902226399726E8
3;30;4;100.0;0.9;1.4666169015402564E8
3;30;4;100.0;0.95;1.4798837021041617E8
3;30;4;100.0;0.97;1.5393219008444852E8
3;30;4;1000.0;0.85;1.5385489927081057E8
3;30;4;1000.0;0.9;1.5325825115595078E8
3;30;4;1000.0;0.95;1.5252675302149943E8
3;30;4;1000.0;0.97;1.5252675302149943E8
3;30;5;100.0;0.85;1.4258066187830594E8
3;30;5;100.0;0.9;1.372783668998987E8
3;30;5;100.0;0.95;1.348686523619678E8
3;30;5;100.0;0.97;1.333602022765858E8
3;30;5;1000.0;0.85;1.3048266248086509E8
3;30;5;1000.0;0.9;1.3048266248086509E8
3;30;5;1000.0;0.95;1.3812501317519286E8
3;30;5;1000.0;0.97;1.3622855356873187E8
4;40;2;100.0;0.85;1.7747167360141966E8
4;40;2;100.0;0.9;1.8076867003936931E8
4;40;2;100.0;0.95;1.8076867003936931E8
4;40;2;100.0;0.97;1.7747167360141966E8
4;40;2;1000.0;0.85;1.7747167360141966E8
4;40;2;1000.0;0.9;1.7747167360141966E8
4;40;2;1000.0;0.95;1.7747167360141966E8
4;40;2;1000.0;0.97;1.7747167360141966E8
4;40;3;100.0;0.85;1.6308965244910467E8
4;40;3;100.0;0.9;1.618419067906662E8
4;40;3;100.0;0.95;1.5883054459377244E8
4;40;3;100.0;0.97;1.5883054459377244E8
4;40;3;1000.0;0.85;1.5883054459377244E8
4;40;3;1000.0;0.9;1.618419067906662E8
4;40;3;1000.0;0.95;1.699116822935479E8
4;40;3;1000.0;0.97;1.6695913093824652E8
4;40;4;100.0;0.85;1.5333189154270563E8
4;40;4;100.0;0.9;1.47164658629332E8
4;40;4;100.0;0.95;1.4502736792759123E8
4;40;4;100.0;0.97;1.483432793086342E8
4;40;4;1000.0;0.85;1.570539522726828E8
4;40;4;1000.0;0.9;1.4502736792759123E8
4;40;4;1000.0;0.95;1.581295108731176E8
4;40;4;1000.0;0.97;1.5951610325781578E8
4;40;5;100.0;0.85;1.4111948577407268E8
4;40;5;100.0;0.9;1.4109858413676935E8
4;40;5;100.0;0.95;1.3426496694438192E8
4;40;5;100.0;0.97;1.3806710051836377E8
4;40;5;1000.0;0.85;1.461598388155533E8
4;40;5;1000.0;0.9;1.3631494803593457E8
4;40;5;1000.0;0.95;1.4234376956797308E8
4;40;5;1000.0;0.97;1.3607189536022186E8
5;50;2;100.0;0.85;1.7848428570258635E8
5;50;2;100.0;0.9;1.7854898256064263E8
5;50;2;100.0;0.95;1.7848428570258635E8
5;50;2;100.0;0.97;1.7854898256064263E8
5;50;2;1000.0;0.85;1.7848428570258635E8
5;50;2;1000.0;0.9;1.7848428570258635E8
5;50;2;1000.0;0.95;1.7854898256064263E8
5;50;2;1000.0;0.97;1.7848428570258635E8
5;50;3;100.0;0.85;1.7025876007779694E8
5;50;3;100.0;0.9;1.5856993339481157E8
5;50;3;100.0;0.95;1.6968903147359392E8
5;50;3;100.0;0.97;1.632830625607912E8
5;50;3;1000.0;0.85;1.5856993339481157E8
5;50;3;1000.0;0.9;1.5856993339481157E8
5;50;3;1000.0;0.95;1.7025876007779694E8
5;50;3;1000.0;0.97;1.5856993339481157E8
5;50;4;100.0;0.85;1.5055295607648388E8
5;50;4;100.0;0.9;1.484965133473282E8
5;50;4;100.0;0.95;1.494183464134885E8
5;50;4;100.0;0.97;1.5690760108158723E8
5;50;4;1000.0;0.85;1.5049128665597484E8
5;50;4;1000.0;0.9;1.494183464134885E8
5;50;4;1000.0;0.95;1.531885946580307E8
5;50;4;1000.0;0.97;1.494183464134885E8
5;50;5;100.0;0.85;1.418909770418148E8
5;50;5;100.0;0.9;1.4409023845256585E8
5;50;5;100.0;0.95;1.4485741135380948E8
5;50;5;100.0;0.97;1.3432720012715513E8
5;50;5;1000.0;0.85;1.418909770418148E8
5;50;5;1000.0;0.9;1.3897422220163235E8
5;50;5;1000.0;0.95;1.4006758193906707E8
5;50;5;1000.0;0.97;1.402152851252666E8
200;200;8;100.0;0.85;1.2889296561198759E8
200;200;8;100.0;0.9;1.2450853435768838E8
200;200;8;100.0;0.95;1.316737312461793E8
200;200;8;100.0;0.97;1.2654902696546753E8
200;200;8;1000.0;0.85;1.3025143180325143E8
200;200;8;1000.0;0.9;1.2758975022594373E8
200;200;8;1000.0;0.95;1.2792987409117898E8
200;200;8;1000.0;0.97;1.226779968407994E8
